STATE,Revenge,Greed,Extortion,Cause Disrepute,Prank,Fraud,Eve teasing,Others,Total
ANDHRA PRADESH,7,63,0,0,0,219,225,137,651
ARUNACHAL PRADESH,0,0,0,0,0,0,0,10,10
ASSAM,0,0,0,0,0,0,0,154,154
BIHAR,0,135,0,3,0,0,0,1,139
CHHATTISGARH,0,0,2,0,0,4,17,78,101
GOA,0,3,0,0,0,10,4,41,58
GUJARAT,2,16,0,2,0,7,12,38,77
HARYANA,0,44,0,0,0,1,18,260,323
HIMACHAL PRADESH,2,0,2,6,0,4,10,4,28
JAMMU & KASHMIR,0,14,0,1,1,1,5,24,46
JHARKHAND,0,9,0,0,1,4,2,10,26
KARNATAKA,0,93,5,6,0,118,67,244,533
KERALA,23,28,0,25,0,44,136,127,383
MADHYA PRADESH,2,0,0,6,0,32,61,241,342
MAHARASHTRA,15,133,14,75,15,210,233,212,907
MANIPUR,0,0,0,0,0,1,0,0,1
MEGHALAYA,0,0,0,0,0,0,0,17,17
MIZORAM,0,0,0,0,0,0,0,0,0
NAGALAND,0,0,0,0,0,0,0,0,0
ORISSA,15,8,0,1,0,51,0,29,104
PUNJAB,3,8,3,7,6,17,36,76,156
RAJASTHAN,3,51,0,1,0,18,61,163,297
SIKKIM,0,0,0,0,0,0,0,0,0
TAMIL NADU,8,6,0,1,0,27,13,35,90
TRIPURA,0,0,0,3,0,3,5,3,14
UTTAR PRADESH,12,84,19,0,14,375,161,17,682
UTTARAKHAND,0,0,4,0,0,4,12,7,27
WEST BENGAL,15,110,24,0,0,66,13,114,342
A & N ISLANDS,0,15,0,0,0,0,1,2,18
CHANDIGARH,5,0,0,0,0,0,0,6,11
D & N HAVELI,0,0,0,0,0,0,0,0,0
DAMAN & DIU,0,0,0,0,0,0,0,1,1
DELHI,0,1,0,9,2,24,24,90,150
LAKSHADWEEP,0,0,0,0,0,0,0,0,0
PUDUCHERRY,0,0,0,2,0,0,0,3,5
