fill	y	x	clickSelects	group	xmin	xmax	ymin	ymax
#F17E4F	0.0454545454545455	0.697955297183522	ANDHRA PRADESH	2	0.0454545454545455	0.697955297183522	0.0326704545454545	0.0582386363636364
#E88523	0.0738636363636364	0.0554775984764959	ARUNACHAL PRADESH	3	0.0454545454545455	0.0554775984764959	0.0610795454545454	0.0866477272727273
#DE8C00	0.102272727272727	0.199809561992583	ASSAM	4	0.0454545454545455	0.199809561992583	0.0894886363636364	0.115056818181818
#D29300	0.130681818181818	0.184774982459657	BIHAR	5	0.0454545454545455	0.184774982459657	0.117897727272727	0.143465909090909
#B4A000	0.1875	0.146687380976245	CHHATTISGARH	7	0.0454545454545455	0.146687380976245	0.174715909090909	0.200284090909091
#53B400	0.301136363636364	0.103588252981858	GOA	11	0.0454545454545455	0.103588252981858	0.288352272727273	0.313920454545454
#00B70C	0.329545454545455	0.122632053723564	GUJARAT	12	0.0454545454545455	0.122632053723564	0.316761363636364	0.342329545454545
#00BB45	0.357954545454545	0.369199158063546	HARYANA	13	0.0454545454545455	0.369199158063546	0.345170454545455	0.370738636363636
#00BD64	0.386363636363636	0.0735190939160068	HIMACHAL PRADESH	14	0.0454545454545455	0.0735190939160068	0.373579545454545	0.399147727272727
#00BF7D	0.414772727272727	0.0915605893555177	JAMMU & KASHMIR	15	0.0454545454545455	0.0915605893555177	0.401988636363636	0.427556818181818
#00C094	0.443181818181818	0.0715144833116167	JHARKHAND	16	0.0454545454545455	0.0715144833116167	0.430397727272727	0.455965909090909
#00C1A8	0.471590909090909	0.579683271524506	KARNATAKA	17	0.0454545454545455	0.579683271524506	0.458806818181818	0.484375
#00C0BB	0.5	0.429337476195249	KERALA	18	0.0454545454545455	0.429337476195249	0.487215909090909	0.512784090909091
#00BBDD	0.556818181818182	0.388242958805252	MADHYA PRADESH	20	0.0454545454545455	0.388242958805252	0.544034090909091	0.569602272727273
#00B6EB	0.585227272727273	0.954545454545454	MAHARASHTRA	21	0.0454545454545455	0.954545454545454	0.572443181818182	0.598011363636364
#00B0F6	0.613636363636364	0.0464568507567405	MANIPUR	22	0.0454545454545455	0.0464568507567405	0.600852272727273	0.626420454545454
#00A8FF	0.642045454545455	0.0624937355918613	MEGHALAYA	23	0.0454545454545455	0.0624937355918613	0.629261363636364	0.654829545454545
#4B9FFF	0.670454545454545	0.0454545454545455	MIZORAM	24	0.0454545454545455	0.0454545454545455	0.657670454545455	0.683238636363636
#8195FF	0.698863636363636	0.0454545454545455	NAGALAND	25	0.0454545454545455	0.0454545454545455	0.686079545454545	0.711647727272727
#A58AFF	0.727272727272727	0.149694296882831	ORISSA	26	0.0454545454545455	0.149694296882831	0.714488636363636	0.740056818181818
#D774FD	0.784090909090909	0.201814172596973	PUNJAB	28	0.0454545454545455	0.201814172596973	0.771306818181818	0.796875
#E76BF3	0.8125	0.343139220206475	RAJASTHAN	29	0.0454545454545455	0.343139220206475	0.799715909090909	0.825284090909091
#F365E6	0.840909090909091	0.0454545454545455	SIKKIM	30	0.0454545454545455	0.0454545454545455	0.828125	0.853693181818182
#FB61D7	0.869318181818182	0.1356620226521	TAMIL NADU	31	0.0454545454545455	0.1356620226521	0.856534090909091	0.882102272727273
#FF61C5	0.897727272727273	0.0594868196852761	TRIPURA	32	0.0454545454545455	0.0594868196852761	0.884943181818182	0.910511363636364
#FF64B2	0.926136363636364	0.729026761551569	UTTAR PRADESH	33	0.0454545454545455	0.729026761551569	0.913352272727273	0.938920454545455
#FF699D	0.954545454545454	0.0725167886138118	UTTARAKHAND	34	0.0454545454545455	0.0725167886138118	0.941761363636364	0.967329545454546
#FD6F86	0.982954545454545	0.388242958805252	WEST BENGAL	35	0.0454545454545455	0.388242958805252	0.970170454545454	0.995738636363636
#F8766D	0.0170454545454545	0.0634960408940563	A & N ISLANDS	1	0.0454545454545455	0.0634960408940563	0.00426136363636364	0.0298295454545454
#C49A00	0.159090909090909	0.056479903778691	CHANDIGARH	6	0.0454545454545455	0.056479903778691	0.146306818181818	0.171875
#A3A500	0.215909090909091	0.0454545454545455	D & N HAVELI	8	0.0454545454545455	0.0454545454545455	0.203125	0.228693181818182
#8EAB00	0.244318181818182	0.0464568507567405	DAMAN & DIU	9	0.0454545454545455	0.0464568507567405	0.231534090909091	0.257102272727273
#75AF00	0.272727272727273	0.195800340783803	DELHI	10	0.0454545454545455	0.195800340783803	0.259943181818182	0.285511363636364
#00BECD	0.528409090909091	0.0454545454545455	LAKSHADWEEP	19	0.0454545454545455	0.0454545454545455	0.515625	0.541193181818182
#C17FFF	0.755681818181818	0.0504660719655207	PUDUCHERRY	27	0.0454545454545455	0.0504660719655207	0.742897727272727	0.768465909090909
