y	x	label	showSelected
0.0731707317073171	0.53030303030303	STATE = ANDHRA PRADESH	ANDHRA PRADESH
0.0731707317073171	0.53030303030303	STATE = ARUNACHAL PRADESH	ARUNACHAL PRADESH
0.0731707317073171	0.53030303030303	STATE = ASSAM	ASSAM
0.0731707317073171	0.53030303030303	STATE = BIHAR	BIHAR
0.0731707317073171	0.53030303030303	STATE = CHHATTISGARH	CHHATTISGARH
0.0731707317073171	0.53030303030303	STATE = GOA	GOA
0.0731707317073171	0.53030303030303	STATE = GUJARAT	GUJARAT
0.0731707317073171	0.53030303030303	STATE = HARYANA	HARYANA
0.0731707317073171	0.53030303030303	STATE = HIMACHAL PRADESH	HIMACHAL PRADESH
0.0731707317073171	0.53030303030303	STATE = JAMMU & KASHMIR	JAMMU & KASHMIR
0.0731707317073171	0.53030303030303	STATE = JHARKHAND	JHARKHAND
0.0731707317073171	0.53030303030303	STATE = KARNATAKA	KARNATAKA
0.0731707317073171	0.53030303030303	STATE = KERALA	KERALA
0.0731707317073171	0.53030303030303	STATE = MADHYA PRADESH	MADHYA PRADESH
0.0731707317073171	0.53030303030303	STATE = MAHARASHTRA	MAHARASHTRA
0.0731707317073171	0.53030303030303	STATE = MANIPUR	MANIPUR
0.0731707317073171	0.53030303030303	STATE = MEGHALAYA	MEGHALAYA
0.0731707317073171	0.53030303030303	STATE = MIZORAM	MIZORAM
0.0731707317073171	0.53030303030303	STATE = NAGALAND	NAGALAND
0.0731707317073171	0.53030303030303	STATE = ORISSA	ORISSA
0.0731707317073171	0.53030303030303	STATE = PUNJAB	PUNJAB
0.0731707317073171	0.53030303030303	STATE = RAJASTHAN	RAJASTHAN
0.0731707317073171	0.53030303030303	STATE = SIKKIM	SIKKIM
0.0731707317073171	0.53030303030303	STATE = TAMIL NADU	TAMIL NADU
0.0731707317073171	0.53030303030303	STATE = TRIPURA	TRIPURA
0.0731707317073171	0.53030303030303	STATE = UTTAR PRADESH	UTTAR PRADESH
0.0731707317073171	0.53030303030303	STATE = UTTARAKHAND	UTTARAKHAND
0.0731707317073171	0.53030303030303	STATE = WEST BENGAL	WEST BENGAL
0.0731707317073171	0.53030303030303	STATE = A & N ISLANDS	A & N ISLANDS
0.0731707317073171	0.53030303030303	STATE = CHANDIGARH	CHANDIGARH
0.0731707317073171	0.53030303030303	STATE = D & N HAVELI	D & N HAVELI
0.0731707317073171	0.53030303030303	STATE = DAMAN & DIU	DAMAN & DIU
0.0731707317073171	0.53030303030303	STATE = DELHI	DELHI
0.0731707317073171	0.53030303030303	STATE = LAKSHADWEEP	LAKSHADWEEP
0.0731707317073171	0.53030303030303	STATE = PUDUCHERRY	PUDUCHERRY
